name,tag,oNamCol,product
cysA,Sant_1235,cysA,Sulfate ABC transporter ATP-binding component
Sant_1236,Sant_1236,NADH:flavin oxidoreductase/NADH oxidase,NADH:flavin oxidoreductase/NADH oxidase
cysM,Sant_1237,cysM,Cysteine synthase B
Sant_1238,Sant_1238,Putative two-component system response regulator,Putative two-component system response regulator
Sant_1239,Sant_1239,Sensor histidine kinase,Sensor histidine kinase
crr,Sant_1240,crr,Glucose-specific PTS system component
ptsI,Sant_1241,ptsI,PEP-protein phosphotransferase enzyme I
ptsH,Sant_1242,ptsH,Phosphocarrier protein
cysK,Sant_1243,cysK,Cysteine synthase A
cysZ,Sant_1244,cysZ,Putative sulfate transport protein
zipA,Sant_1245,zipA,Cell division protein
ligA,Sant_1246,ligA,NAD-dependent DNA ligase
Sant_1247,Sant_1247,hypothetical protein,hypothetical protein
Sant_1248,Sant_1248,ABC transporter permease protein,ABC transporter permease protein
Sant_1249,Sant_1249,ABC transporter permease protein,ABC transporter permease protein
Sant_1250,Sant_1250,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein
Sant_1251,Sant_1251,Basic membrane lipoprotein,Basic membrane lipoprotein
Sant_1252,Sant_1252,hypothetical protein,hypothetical protein
Sant_1253,Sant_1253,GCN5-related N-acetyltransferase,GCN5-related N-acetyltransferase
Sant_1254,Sant_1254,MarR family transcriptional regulator,MarR family transcriptional regulator
Sant_1255,Sant_1255,RND efflux system outer membrane lipoprotein NodT family,RND efflux system outer membrane lipoprotein NodT family
Sant_1256,Sant_1256,Multidrug resistance hemolysin D family protein,Multidrug resistance hemolysin D family protein
Sant_1257,Sant_1257,Drug resistance transporter EmrB/QacA subfamily,Drug resistance transporter EmrB/QacA subfamily
Sant_1258,Sant_1258,Peptidase M60 viral enhancin protein,Peptidase M60 viral enhancin protein
lysV,Sant_t1259,lysV tRNA,tRNA-Lys
valY,Sant_t1260,valY tRNA,tRNA-Val
valX,Sant_t1261,valX tRNA,tRNA-Val
valU,Sant_t1262,valU tRNA,tRNA-Val
gltX,Sant_1263,gltX,Glutamyl-tRNA synthetase
alaW,Sant_t1264,alaW tRNA,tRNA-Ala
alaX,Sant_t1265,alaX tRNA,tRNA-Ala
nupC,Sant_1266,nupC,Nucleoside transport protein
mntH,Sant_1267,mntH,Manganese transport protein
yghZ,Sant_1268,yghZ,Aldo/keto reductase
Sant_1269,Sant_1269,Aspartate racemase,Aspartate racemase
Sant_1270,Sant_1270,Glucokinase,Glucokinase
Sant_1271,Sant_1271,Two component transcriptional response regulator LytTR family,Two component transcriptional response regulator LytTR family
Sant_1272,Sant_1272,Two-component system histidine kinase,Two-component system histidine kinase
alaC,Sant_1273,alaC,Aminotransferase class I and II
sugE,Sant_1274,sugE,GroEL supressor protein
Sant_1275,Sant_1275,hypothetical protein,hypothetical protein
Sant_1276,Sant_1276,Transcriptional regulator PAS and GerE domains,Transcriptional regulator PAS and GerE domains
Sant_1277,Sant_1277,hypothetical protein,hypothetical protein
Sant_1278,Sant_1278,LysR family regulatory protein,LysR family regulatory protein
Sant_1279,Sant_1279,Bifunctional glycosyl transferase/transpeptidase,Bifunctional glycosyl transferase/transpeptidase
Sant_1280,Sant_1280,Transcriptional regulator PAS and GerE domains,Transcriptional regulator PAS and GerE domains
Sant_1281,Sant_1281,Putative phage DNA polymerase,Putative phage DNA polymerase
Sant_1282,Sant_1282,hypothetical protein,hypothetical protein
Sant_ps1283,Sant_ps1283,Pseudogene,
Sant_1284,Sant_1284,LuxR-family transcriptional regulatory protein,LuxR-family transcriptional regulatory protein
Sant_ps1285,Sant_ps1285,Phage integrase; Frameshifted,
argW,Sant_t1286,argW tRNA,tRNA-Arg
Sant_1287,Sant_1287,Formate/nitrite transporter,Formate/nitrite transporter
ccmA,Sant_1288,ccmA,Cytochrome c biogenesis protein
ccmB,Sant_1289,ccmB,Heme exporter protein
ccmC,Sant_1290,ccmC,Heme exporter protein
ccmD,Sant_1291,ccmD,Heme exporter protein D
ccmE,Sant_1292,ccmE,Cytochrome c biogenesis protein
ccmF,Sant_1293,ccmF,Cytochrome c-type biogenesis protein
ccmG,Sant_1294,ccmG,Thiol:disulfide interchange protein cytochrome C-type biogenesis protein
ccmH,Sant_1295,ccmH,Cytochrome C biogenesis protein
ccmI,Sant_1296,ccmI,Cytochrome c-type bioproteinsis protein
mlaA,Sant_1297,mlaA,Putative surface lipoprotein
yfcZ,Sant_1298,yfcZ,TRNA-dihydrouridine synthase A
sixA,Sant_1299,sixA,Phosphohistidine phosphatase
Sant_1300,Sant_1300,GtrA-like protein,GtrA-like protein
Sant_1301,Sant_1301,Glycosyl transferase family 2,Glycosyl transferase family 2
Sant_1302,Sant_1302,Putative membrane protein,Putative membrane protein
Sant_1303,Sant_1303,Smr protein/MutS2,Smr protein/MutS2
Sant_1304,Sant_1304,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
aroC,Sant_1305,aroC,Chorismate synthase (5-enolpyruvylshikimate-3-phosphate phospholyase)
mepA,Sant_1306,mepA,Peptidase U6 penicillin-insensitive murein endopeptidase
Sant_1307,Sant_1307,Permease protein,Permease protein
Sant_1308,Sant_1308,hypothetical protein,hypothetical protein
Sant_1309,Sant_1309,hypothetical protein,hypothetical protein
Sant_1310,Sant_1310,5-methylaminomethyl-2-thiouridine methyltransferase,5-methylaminomethyl-2-thiouridine methyltransferase
fabB,Sant_1311,fabB,3-oxoacyl-[acyl-carrier-protein] synthase I
Sant_1312,Sant_1312,Major facilitator superfamily protein,Major facilitator superfamily protein
flk,Sant_1313,flk,Putative flagellar assembly regulatory protein
pdxB,Sant_1314,pdxB,Erythronate-4-phosphate dehydrogenase
Sant_1315,Sant_1315,Aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase
truA,Sant_1316,truA,TRNA pseudouridine synthase A
dedA,Sant_1317,dedA,SNARE associated Golgi protein-like protein
accD,Sant_1318,accD,Acetyl-coenzyme A carboxylase carboxyl transferase beta subunit
folC,Sant_1319,folC,Bifunctional folylpolyglutamate synthase/dihydrofolate synthase
dedD,Sant_1320,dedD,Sporulation and cell division repeat protein
Sant_1321,Sant_1321,hypothetical protein,hypothetical protein
cvpA,Sant_1322,cvpA,Colicin V production protein
purF,Sant_1323,purF,Amidophosphoribosyltransferase
ubiX1,Sant_1324,ubiX1,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
hisJ,Sant_1325,hisJ,Putative histidine ABC transporter periplasmic-binding protein
hisQ,Sant_1326,hisQ,Polar amino acid ABC transporter inner membrane subunit
hisM,Sant_1327,hisM,Histidine transport system permease protein
hisP,Sant_1328,hisP,Histidine ABC superfamily ATP binding cassette transporter
yfcH,Sant_1329,yfcH,Putative sugar nucleotide epimerase
yfcG,Sant_1330,yfcG,Glutathione S-transferase domain-containing protein
yfcE,Sant_1331,yfcE,Phosphodiesterase MJ0936 family
yfcD,Sant_1332,yfcD,NTP pyrophosphohydrolase including oxidative damage repair enzyme
pta,Sant_1333,pta,Phosphate acetyltransferase
ackA,Sant_1334,ackA,Acetate kinase (Acetokinase)
Sant_1335,Sant_1335,hypothetical protein,hypothetical protein
yfbU,Sant_1336,yfbU,YfbU family protein
Sant_1337,Sant_1337,Putative phosphatase,Putative phosphatase
Sant_1338,Sant_1338,Citrate transporter,Citrate transporter
yfbR,Sant_1339,yfbR,Metal dependent phosphohydrolase
alaA,Sant_1340,alaA,Putative aspartate aminotransferase
lrhA,Sant_1341,lrhA,LysR family transcriptional regulator
nuoA,Sant_1342,nuoA,NADH-quinone oxidoreductase chain A
nuoB,Sant_1343,nuoB,NADH-quinone oxidoreductase chain B
nuoC,Sant_1344,nuoC,NADH-quinone oxidoreductase chain C/D
nuoE,Sant_1345,nuoE,NADH dehydrogenase I chain E
nuoF,Sant_1346,nuoF,NADH dehydrogenase I chain F
nuoG,Sant_1347,nuoG,NADH-quinone oxidoreductase chain G
nuoH,Sant_1348,nuoH,NADH dehydrogenase subunit H
nuoI,Sant_1349,nuoI,NADH dehydrogenase subunit I
nuoJ,Sant_1350,nuoJ,NADH dehydrogenase I chain J
nuoK,Sant_1351,nuoK,NADH dehydrogenase I chain k
nuoL,Sant_1352,nuoL,NADH dehydrogenase I chain L
nuoM,Sant_1353,nuoM,NADH-quinone oxidoreductase chain M
nuoN,Sant_1354,nuoN,NADH dehydrogenase I chain N
elaB,Sant_1355,elaB,protein elaB
menF,Sant_1356,menF,Menaquinone-specific isochorismate synthase
menH,Sant_1357,menH,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
menD,Sant_1358,menD,Acyl-CoA thioester hydrolase
menB,Sant_1359,menB,Naphthoate synthase
menC,Sant_1360,menC,O-succinylbenzoic acid synthetase
menE,Sant_1361,menE,O-succinylbenzoate-CoA ligase
Sant_1362,Sant_1362,Competence damage-inducible protein A,Competence damage-inducible protein A
Sant_1363,Sant_1363,Major facilitator superfamily transporter,Major facilitator superfamily transporter
Sant_1364,Sant_1364,E3 ubiquitin-protein ligase,E3 ubiquitin-protein ligase
yfaE,Sant_1365,yfaE,2Fe-2S ferredoxin
nrdB,Sant_1366,nrdB,Ribonucleoside-diphosphate reductase 1 beta chain
nrdA,Sant_1367,nrdA,Ribonucleoside-diphosphate reductase 1 alpha subunit
ubiG,Sant_1368,ubiG,3-demethylubiquinone-9 3-methyltransferase
gyrA,Sant_1369,gyrA,DNA gyrase subunit A
rcsC,Sant_1370,rcsC,Hybrid two-component sensor kinase
rcsB,Sant_1371,rcsB,Transcriptional activator of EPS synthesis
rcsD,Sant_1372,rcsD,Phosphotransfer intermediate protein in two-component regulatory system with RcsBC
Sant_1373,Sant_1373,putative MFS-type transporter,putative MFS-type transporter
Sant_1374,Sant_1374,hypothetical protein,hypothetical protein
ompC,Sant_1375,ompC,Outer membrane protein C
Sant_1376,Sant_1376,Glutathione S-transferase family protein,Glutathione S-transferase family protein
Sant_1377,Sant_1377,Putative sulfonate/nitrate transport system substrate-binding protein,Putative sulfonate/nitrate transport system substrate-binding protein
cbl,Sant_1378,cbl,Cys regulon transcriptional regulator LysR family
pagP,Sant_1379,pagP,Phospholipid:lipid A palmitoyltransferase
ddl,Sant_1380,ddl,D-alanine--D-alanine ligase
lysE,Sant_1381,lysE,Lysine exporter protein
Sant_1382,Sant_1382,hypothetical protein,hypothetical protein
Sant_1383,Sant_1383,Mandelate racemase/muconate lactonizing enzyme,Mandelate racemase/muconate lactonizing enzyme
Sant_1384,Sant_1384,Putative D-galactonate transporter,Putative D-galactonate transporter
Sant_1385,Sant_1385,MFS transporter,MFS transporter
Sant_1386,Sant_1386,Mandelate racemase/muconate lactonizing enzyme,Mandelate racemase/muconate lactonizing enzyme
Sant_1387,Sant_1387,3-oxoacyl-(acyl-carrier-protein) reductase,3-oxoacyl-(acyl-carrier-protein) reductase
Sant_1388,Sant_1388,N-acetylneuraminate lyase,N-acetylneuraminate lyase
Sant_1389,Sant_1389,hypothetical protein,hypothetical protein
proL,Sant_t1390,proL tRNA,tRNA-Pro
Sant_1391,Sant_1391,Putative sulfatase,Putative sulfatase
Sant_1392,Sant_1392,hypothetical protein,hypothetical protein
ndpA,Sant_1393,ndpA,Nucleoid-associated protein
Sant_1394,Sant_1394,hypothetical protein,hypothetical protein
rplY,Sant_1395,rplY,50S ribosomal protein L25
Sant_1396,Sant_1396,Type III restriction protein res subunit,Type III restriction protein res subunit
rsuA,Sant_1397,rsuA,16S rRNA pseudouridylate synthase A
bcr,Sant_1398,bcr,Bicyclomycin/multidrug efflux system
efeU,Sant_1399,efeU,Iron permease FTR1
Sant_1400,Sant_1400,hypothetical protein,hypothetical protein
ycdB,Sant_1401,ycdB,Dyp-type peroxidase family protein Tat-translocated enzyme
Sant_1402,Sant_1402,hypothetical protein,hypothetical protein
yejF,Sant_1403,yejF,Putative ABC transporter ATP-binding component
yejE,Sant_1404,yejE,Putative binding-protein-dependent transporter
yejB,Sant_1405,yejB,Putative ABC transporter permease component
yejA,Sant_1406,yejA,Putative substrate-binding transport protein
Sant_1407,Sant_1407,4-hydroxyphenylpyruvate dioxygenase,4-hydroxyphenylpyruvate dioxygenase
spr,Sant_1408,spr,Putative outer membrane lipoprotein
lpxT,Sant_1409,lpxT,Phosphoesterase PA-phosphatase related protein
yeiR,Sant_1410,yeiR,Cobalamin synthesis protein/P47K family protein
yeiQ,Sant_1411,yeiQ,D-mannonate oxidoreductase
yeiP,Sant_1412,yeiP,Elongation factor P-like protein
sotA,Sant_1413,sotA,Sugar efflux transporter
fruB,Sant_1414,fruB,PTS family fructose porter IIA/HPr component
fruK,Sant_1415,fruK,1-phosphofructokinase
fruA,Sant_1416,fruA,PTS family fructose porter IIABC component
nfo,Sant_1417,nfo,putative endonuclease IV
yeiE,Sant_1418,yeiE,LysR family transcriptional regulator
lysP,Sant_1419,lysP,Lysine-specific permease-associated protein
Sant_1420,Sant_1420,Inner membrane permease of iron/siderophore ABC transporter,Inner membrane permease of iron/siderophore ABC transporter
Sant_1421,Sant_1421,ABC transporter-like protein,ABC transporter-like protein
Sant_1422,Sant_1422,Putative TonB-dependent receptor plug,Putative TonB-dependent receptor plug
Sant_1423,Sant_1423,S-formylglutathione hydrolase,S-formylglutathione hydrolase
Sant_1424,Sant_1424,Alcohol dehydrogenase,Alcohol dehydrogenase
Sant_1425,Sant_1425,LysR family transcriptional regulator,LysR family transcriptional regulator
yjiJ,Sant_1426,yjiJ,MFS-family transporter
folE,Sant_1427,folE,GTP cyclohydrolase I
yeiB,Sant_1428,yeiB,membrane protein
pmrA,Sant_1429,pmrA,DNA-binding transcriptional regulator
pmrB,Sant_1430,pmrB,Sensor protein
Sant_1431,Sant_1431,Glycosyl transferase family 2,Glycosyl transferase family 2
galS,Sant_1432,galS,DNA-binding transcriptional regulator
mglB,Sant_1433,mglB,D-galactose-binding periplasmic protein
mglA,Sant_1434,mglA,Galactose/methyl galactoside import ATP-binding protein
mglC,Sant_1435,mglC,Galactoside transport system permease protein
sanA,Sant_1436,sanA,Exported protein
sfcA,Sant_1437,sfcA,Malate dehydrogenase
cdd,Sant_1438,cdd,Cytidine deaminase
yohK,Sant_1439,yohK,Putative membrane protein
Sant_1440,Sant_1440,LrgA family putative murein hydrolase exporter,LrgA family putative murein hydrolase exporter
Sant_1441,Sant_1441,Putative secreted protein,Putative secreted protein
Sant_1442,Sant_1442,MFS transporter,MFS transporter
metG,Sant_1443,metG,Methionyl-tRNA synthetase
Sant_1444,Sant_1444,Putative ATPase,Putative ATPase
Sant_1445,Sant_1445,Phosphoesterase PA-phosphatase family protein,Phosphoesterase PA-phosphatase family protein
udk,Sant_1446,udk,Uridine kinase
dcd,Sant_1447,dcd,Deoxycytidine triphosphate deaminase
asmA,Sant_1448,asmA,Outer membrane assembly protein
amsL,Sant_1449,amsL,Exopolysaccharide biosynthesis protein
wcaK,Sant_1450,wcaK,Extracellular polysaccharide pyruvyl transferase
wza,Sant_1451,wza,Amylovoran export outer membrane protein
wzb,Sant_1452,wzb,Putative tyrosine-phosphatase
wzc,Sant_1453,wzc,Tyrosine kinase
wcaL,Sant_1454,wcaL,Amylovoran biosynthesis glycosyl transferase
Sant_1455,Sant_1455,Putative glycosyl transferase family 2,Putative glycosyl transferase family 2
Sant_1456,Sant_1456,Glycosyl transferase group 1,Glycosyl transferase group 1
Sant_1457,Sant_1457,hypothetical protein,hypothetical protein
Sant_1458,Sant_1458,Putative glycosyltransferase,Putative glycosyltransferase
wcaJ,Sant_1459,wcaJ,Putative UDP-glucose lipid carrier transferase
Sant_1460,Sant_1460,hypothetical protein,hypothetical protein
Sant_1461,Sant_1461,Acyltransferase 3 possibly involved in capsule biosynthesis,Acyltransferase 3 possibly involved in capsule biosynthesis
Sant_1462,Sant_1462,Putative succinoglycan biosynthesis ketolase,Putative succinoglycan biosynthesis ketolase
galF,Sant_1463,galF,UTP-glucose-1-phosphate uridylyltransferase
galE1,Sant_1464,galE1,UDP-glucose 4-epimerase
gcd,Sant_1465,gcd,Membrane-bound PQQ-dependent dehydrogenase
manC2,Sant_1466,manC2,Mannose-1-phosphate guanylyltransferase
manB,Sant_1467,manB,Phosphomannomutase
Sant_1468,Sant_1468,Integral membrane component of ABC-transporter,Integral membrane component of ABC-transporter
Sant_1469,Sant_1469,ATP binding component of ABC-transporter,ATP binding component of ABC-transporter
Sant_1470,Sant_1470,hypothetical protein,hypothetical protein
Sant_1471,Sant_1471,Putative mannosyltransferase,Putative mannosyltransferase
rbfU,Sant_1472,rbfU,Mannosyltransferase B
wbcW,Sant_1473,wbcW,Glycosyltransferase
gnd,Sant_1474,gnd,6-phosphogluconate dehydrogenase
Sant_1475,Sant_1475,hypothetical protein,hypothetical protein
hisI,Sant_1476,hisI,Bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
hisF,Sant_1477,hisF,Imidazole glycerol phosphate synthase subunit
hisA,Sant_1478,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
hisH,Sant_1479,hisH,Imidazole glycerol phosphate synthase subunit
hisB,Sant_1480,hisB,Imidazole glycerol-phosphate dehydratase/histidinol phosphatase
hisC,Sant_1481,hisC,Histidinol-phosphate aminotransferase
hisD,Sant_1482,hisD,Histidinol dehydrogenase
hisG,Sant_1483,hisG,ATP phosphoribosyltransferase
Sant_1484,Sant_1484,Putative NAD-dependent epimerase/dehydratase,Putative NAD-dependent epimerase/dehydratase
puuA,Sant_1485,puuA,Gamma-glutamylputrescine synthetase
puuP,Sant_1486,puuP,Putrescine importer
sbcB,Sant_1487,sbcB,Exonuclease I
Sant_1488,Sant_1488,hypothetical protein,hypothetical protein
Sant_1489,Sant_1489,hypothetical protein,hypothetical protein
Sant_1490,Sant_1490,hypothetical protein,hypothetical protein
yeeA,Sant_1491,yeeA,Inner membrane protein
Sant_1492,Sant_1492,hypothetical protein,hypothetical protein
Sant_1493,Sant_1493,hypothetical protein,hypothetical protein
Sant_1494,Sant_1494,L-lactate dehydrogenase,L-lactate dehydrogenase
alkA,Sant_1495,alkA,Methylated-DNA--protein-cysteine methyltransferase
Sant_1496,Sant_1496,Putative xanthine/uracil/vitamin C permease,Putative xanthine/uracil/vitamin C permease
Sant_1497,Sant_1497,Alpha-galactosidase,Alpha-galactosidase
Sant_1498,Sant_1498,Galactoside permease,Galactoside permease
Sant_1499,Sant_1499,LacI family transcriptional regulator,LacI family transcriptional regulator
Sant_1500,Sant_1500,Flavin reductase domain protein FMN-binding protein,Flavin reductase domain protein FMN-binding protein
Sant_1501,Sant_1501,Glycerol-3-phosphate regulon repressor,Glycerol-3-phosphate regulon repressor
Sant_1502,Sant_1502,Class III aminotransferase,Class III aminotransferase
tag,Sant_1503,tag,3-methyl-adenine DNA glycosylase I
Sant_1504,Sant_1504,hypothetical protein,hypothetical protein
pqqF,Sant_1505,pqqF,Coenzyme PQQ biosynthesis protein F
pqqE,Sant_1506,pqqE,Coenzyme PQQ biosynthesis protein E
pqqD,Sant_1507,pqqD,Coenzyme PQQ biosynthesis protein D
pqqC,Sant_1508,pqqC,Coenzyme PQQ biosynthesis protein C
pqqB,Sant_1509,pqqB,Coenzyme PQQ biosynthesis protein B
pqqA,Sant_1510,pqqA,Coenzyme PQQ biosynthesis protein A
Sant_1511,Sant_1511,Membrane dipeptidase,Membrane dipeptidase
Sant_1512,Sant_1512,PTS system glucitol/sorbitol-specific transporter subunit IIC,PTS system glucitol/sorbitol-specific transporter subunit IIC
Sant_1513,Sant_1513,PTS family glucitol/sorbitol porter IIB component,PTS family glucitol/sorbitol porter IIB component
Sant_1514,Sant_1514,PTS family glucitol/sorbitol porter IIA component,PTS family glucitol/sorbitol porter IIA component
Sant_1515,Sant_1515,Sorbitol-6-phosphate dehydrogenase,Sorbitol-6-phosphate dehydrogenase
Sant_1516,Sant_1516,Glucitol operon activator,Glucitol operon activator
Sant_1517,Sant_1517,Glucitol operon repressor,Glucitol operon repressor
Sant_1518,Sant_1518,D-arabinose 5-phosphate isomerase,D-arabinose 5-phosphate isomerase
Sant_1519,Sant_1519,Fructose-6-phosphate aldolase,Fructose-6-phosphate aldolase
Sant_1520,Sant_1520,hypothetical protein,hypothetical protein
Sant_1521,Sant_1521,Helicase-like protein,Helicase-like protein
Sant_1522,Sant_1522,6-phosphogluconolactonase,6-phosphogluconolactonase
Sant_1523,Sant_1523,LysR family transcriptional regulator,LysR family transcriptional regulator
Sant_1524,Sant_1524,Putative HxlR family transcriptional regulator,Putative HxlR family transcriptional regulator
Sant_1525,Sant_1525,3-oxoacyl-ACP reductase,3-oxoacyl-ACP reductase
Sant_1526,Sant_1526,GntR family transcriptional regulator,GntR family transcriptional regulator
Sant_1527,Sant_1527,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_1528,Sant_1528,Binding protein dependent transporter,Binding protein dependent transporter
Sant_1529,Sant_1529,NMT1/THI5 domain protein transporter,NMT1/THI5 domain protein transporter
Sant_1530,Sant_1530,ABC transporter taurine specific,ABC transporter taurine specific
Sant_1531,Sant_1531,MmgE/PrpD family protein,MmgE/PrpD family protein
Sant_1532,Sant_1532,Alanine racemase domain-containing protein,Alanine racemase domain-containing protein
Sant_1533,Sant_1533,5-oxoprolinase (ATP-hydrolyzing),5-oxoprolinase (ATP-hydrolyzing)
Sant_1534,Sant_1534,Hydantoinase B/oxoprolinase,Hydantoinase B/oxoprolinase
gluD,Sant_1535,gluD,Glutamate transport system permease protein
gluC,Sant_1536,gluC,Glutamate transport system permease protein
Sant_1537,Sant_1537,Glutamate ABC transporter solute-binding protein,Glutamate ABC transporter solute-binding protein
Sant_1538,Sant_1538,Glutamate ABC transporter ATP-binding protein,Glutamate ABC transporter ATP-binding protein
Sant_1539,Sant_1539,GntR family transcriptional regulator,GntR family transcriptional regulator
Sant_1540,Sant_1540,Putative 5-oxoprolinase (ATP-hydrolyzing),Putative 5-oxoprolinase (ATP-hydrolyzing)
Sant_1541,Sant_1541,Hydantoinase/5-oxoprolinase,Hydantoinase/5-oxoprolinase
Sant_1542,Sant_1542,hypothetical protein,hypothetical protein
Sant_1543,Sant_1543,Aspartate/tyrosine/aromatic aminotransferase,Aspartate/tyrosine/aromatic aminotransferase
Sant_1544,Sant_1544,Endoribonuclease L-PSP,Endoribonuclease L-PSP
Sant_1545,Sant_1545,Nitrogen assimilation transcriptional regulator,Nitrogen assimilation transcriptional regulator
Sant_1546,Sant_1546,Acetyl-CoA carboxylase biotin carboxyl carrier protein,Acetyl-CoA carboxylase biotin carboxyl carrier protein
Sant_1547,Sant_1547,Acetyl-CoA carboxylase biotin carboxylase subunit,Acetyl-CoA carboxylase biotin carboxylase subunit
Sant_1548,Sant_1548,Biotin/lipoyl attachment domain-containing protein,Biotin/lipoyl attachment domain-containing protein
Sant_1549,Sant_1549,Putative amino acid ABC transporter permease,Putative amino acid ABC transporter permease
Sant_1550,Sant_1550,Glutamate/aspartate transport system permease protein,Glutamate/aspartate transport system permease protein
Sant_1551,Sant_1551,Anhydrase family 3 protein,Anhydrase family 3 protein
Sant_1552,Sant_1552,Multidrug resistance protein B,Multidrug resistance protein B
Sant_1553,Sant_1553,Aminotransferase class I and II,Aminotransferase class I and II
Sant_1554,Sant_1554,Acyl-CoA transferase/carnitine dehydratase,Acyl-CoA transferase/carnitine dehydratase
Sant_1555,Sant_1555,Enoyl-CoA hydratase/isomerase,Enoyl-CoA hydratase/isomerase
Sant_1556,Sant_1556,Glutamine ABC transporter periplasmic amino acid-binding protein,Glutamine ABC transporter periplasmic amino acid-binding protein
Sant_1557,Sant_1557,Lactam utilization protein B-like protein,Lactam utilization protein B-like protein
Sant_1558,Sant_1558,Urea amidolyase related protein,Urea amidolyase related protein
Sant_1559,Sant_1559,Putative allophanate hydrolase subunit 1,Putative allophanate hydrolase subunit 1
Sant_1560,Sant_1560,Polar amino acid ABC transporter ATP-binding protein,Polar amino acid ABC transporter ATP-binding protein
Sant_1561,Sant_1561,Spermidine/putrescine ABC transporter ATPase subunit,Spermidine/putrescine ABC transporter ATPase subunit
Sant_1562,Sant_1562,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_1563,Sant_1563,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_1564,Sant_1564,Extracellular solute-binding protein family 1,Extracellular solute-binding protein family 1
Sant_1565,Sant_1565,Spermidine/putrescine ABC transporter ATP-binding subunit,Spermidine/putrescine ABC transporter ATP-binding subunit
Sant_1566,Sant_1566,Acyl-CoA dehydrogenase domain-containing protein,Acyl-CoA dehydrogenase domain-containing protein
Sant_1567,Sant_1567,Peptidase dimerization domain-containing protein,Peptidase dimerization domain-containing protein
Sant_1568,Sant_1568,putative ester cyclase,putative ester cyclase
Sant_1569,Sant_1569,Peptidase M24,Peptidase M24
Sant_1570,Sant_1570,Xaa-Pro aminopeptidase,Xaa-Pro aminopeptidase
Sant_1571,Sant_1571,Putative oxygenase,Putative oxygenase
Sant_1572,Sant_1572,Putative GntR family transcriptional regulator,Putative GntR family transcriptional regulator
Sant_1573,Sant_1573,Putrescine aminotransferase,Putrescine aminotransferase
Sant_1574,Sant_1574,Gamma-aminobutyraldehyde dehydrogenase,Gamma-aminobutyraldehyde dehydrogenase
Sant_1575,Sant_1575,Putative esterase,Putative esterase
Sant_1576,Sant_1576,TonB-dependent siderophore receptor,TonB-dependent siderophore receptor
Sant_1577,Sant_1577,Alkanesulfonate monooxygenase SsuD,Alkanesulfonate monooxygenase SsuD
Sant_1578,Sant_1578,Aliphatic sulfonates family ABC transporter periplasmic ligand-binding protein,Aliphatic sulfonates family ABC transporter periplasmic ligand-binding protein
Sant_1579,Sant_1579,N-acetylmuramoyl-l-alanine amidase I,N-acetylmuramoyl-l-alanine amidase I
Sant_1580,Sant_1580,Endonuclease/exonuclease/phosphatase family protein,Endonuclease/exonuclease/phosphatase family protein
Sant_1581,Sant_1581,Gluconate 2-dehydrogenase subunit 3,Gluconate 2-dehydrogenase subunit 3
Sant_1582,Sant_1582,Gluconate dehydrogenase subunit,Gluconate dehydrogenase subunit
Sant_1583,Sant_1583,Gluconate 2-dehydrogenase cytochrome c subunit,Gluconate 2-dehydrogenase cytochrome c subunit
Sant_1584,Sant_1584,hypothetical protein,hypothetical protein
Sant_1585,Sant_1585,NIPSNAP family containing protein,NIPSNAP family containing protein
Sant_1586,Sant_1586,ROK family protein,ROK family protein
Sant_1587,Sant_1587,Extracellular solute-binding protein,Extracellular solute-binding protein
Sant_1588,Sant_1588,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_1589,Sant_1589,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_1590,Sant_1590,Sugar dehydrogenase,Sugar dehydrogenase
Sant_1591,Sant_1591,ABC transporter related protein,ABC transporter related protein
Sant_1592,Sant_1592,hypothetical protein,hypothetical protein
Sant_1593,Sant_1593,Luciferase-like monooxygenase,Luciferase-like monooxygenase
Sant_1594,Sant_1594,BFD/(2Fe-2S)-binding domain-containing protein,BFD/(2Fe-2S)-binding domain-containing protein
Sant_1595,Sant_1595,Putative Dehydrogenase,Putative Dehydrogenase
Sant_1596,Sant_1596,FAD dependent oxidoreductase,FAD dependent oxidoreductase
Sant_1597,Sant_1597,hypothetical protein,hypothetical protein
Sant_ps1598,Sant_ps1598,Pseudogene,
Sant_1599,Sant_1599,UbiD family decarboxylase,UbiD family decarboxylase
hutC,Sant_1600,hutC,Putative transcriptional regulator
